"Kategorie | Zpravodajství | seznamzpravy.cz","5028489","202395962","114604037","18958874208"
"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","4960415","205751058","111186177","17584810181"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3966066","152640441","42789147","10023661149"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3463954","79256423","23485133","3765936667"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3390246","64169793","17479679","1609943522"
"Kategorie | Zpravodajství | iprima.cz | CNN Prima NEWS","3152964","26004826","17356370","1673299573"
"Kategorie | Zpravodajství | reflex.cz","2314273","23667551","7042603","750585218"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2101204","38519431","10745061","1764839075"
"Kategorie | Zpravodajství | irozhlas.cz","1933360","14611743","7939856","1003628430"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1913962","12240726","7062724","902657221"
"Kategorie | Zpravodajství | ceskenoviny.cz","1690125","6587120","4521832","290956272"
"Kategorie | Zpravodajství | drbna.cz","1653037","7810472","5475479","285240243"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","1646844","19317614","8871799","1188882943"
"Kategorie | Zpravodajství | forum24.cz","1595209","12058527","6502568","869504024"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1577072","22424635","8762179","1776213142"
"Kategorie | Zpravodajství | echo24.cz","1541183","8349640","5413883","384467993"
"Kategorie | Zpravodajství | parlamentnilisty.cz","1176392","27255439","7815935","2724100726"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","1051591","3535601","2535067","192711651"
"Kategorie | Zpravodajství | respekt.cz","635013","2184241","1448273","102475063"
"Kategorie | Zpravodajství | nasregion.cz","585464","1664813","968781","53024748"
"Kategorie | Zpravodajství | tydenikpolicie.cz","521555","1517596","1081185","49869800"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","372173","1676582","1147777","83421530"
"Kategorie | Zpravodajství | hlidacipes.org","367379","909859","655552","40247454"
"Kategorie | Zpravodajství | info.cz","355073","1451738","839366","69227152"
"Kategorie | Zpravodajství | ekolist.cz","348229","845068","584498","38026014"
"Kategorie | Zpravodajství | blisty.cz","71825","657891","268510","51333646"
"Kategorie | Zpravodajství | 5plus2.cz","6958","19174","9179","810832"
"Kategorie | Zpravodajství | pravo.cz","1","1","1","-"