"Kategorie | Zpravodajství | seznamzpravy.cz","4892293","162985803","98211317","13877297543"
"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","4816525","176477300","96597309","16385512420"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3802122","137304500","39765580","8921510575"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3271959","73176356","21492360","3282294221"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3043345","50737521","14391585","1249273047"
"Kategorie | Zpravodajství | iprima.cz | CNN Prima NEWS","2443771","12120493","8539708","716825243"
"Kategorie | Zpravodajství | reflex.cz","2186615","20067152","6658894","672655414"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2040323","36753669","10006777","1566568765"
"Kategorie | Zpravodajství | irozhlas.cz","1807280","13627131","7493236","912176713"
"Kategorie | Zpravodajství | forum24.cz","1795197","13641125","7636177","1025918334"
"Kategorie | Zpravodajství | echo24.cz","1767638","8491076","5627265","372274363"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","1736527","19179378","8793597","1116249091"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1662044","10787592","6225125","780044405"
"Kategorie | Zpravodajství | drbna.cz","1641070","6591745","4622455","226770065"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1373398","20241320","8205270","1590478654"
"Kategorie | Zpravodajství | ceskenoviny.cz","1364920","5359995","3642501","234803470"
"Kategorie | Zpravodajství | parlamentnilisty.cz","1094646","25538100","7972506","2505487800"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","832837","2730069","1955521","155732578"
"Kategorie | Zpravodajství | respekt.cz","588986","1881657","1241717","88188152"
"Kategorie | Zpravodajství | nasregion.cz","577416","1834033","1042992","61927882"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","481088","1826829","1228851","88222101"
"Kategorie | Zpravodajství | tydenikpolicie.cz","438064","1185136","847004","38196785"
"Kategorie | Zpravodajství | ekolist.cz","383195","823954","585833","35167099"
"Kategorie | Zpravodajství | info.cz","380465","1436110","864634","68306541"
"Kategorie | Zpravodajství | hlidacipes.org","279535","761148","535347","38774218"
"Kategorie | Zpravodajství | blisty.cz","44905","556848","225987","44360491"
"Kategorie | Zpravodajství | 5plus2.cz","2547","18532","6253","741464"
"Kategorie | Zpravodajství | pravo.cz","4","5","4","-"