"Kategorie | Zpravodajství | seznamzpravy.cz","5084778","172131469","105022057","15592692670"
"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","5000615","177327601","102472027","15886968223"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3762445","128113701","39936143","9752099179"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3460248","69151825","18346267","1752129137"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3403522","83421839","24052171","3982900417"
"Kategorie | Zpravodajství | reflex.cz","2553249","25604226","8990883","882729447"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2392041","39792504","11573212","1692430038"
"Kategorie | Zpravodajství | echo24.cz","2067593","10860564","7332516","515785887"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","1974526","18493159","9641618","1095345321"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1709630","11973512","6866465","893889580"
"Kategorie | Zpravodajství | irozhlas.cz","1642661","12017592","6242130","858623834"
"Kategorie | Zpravodajství | ceskenoviny.cz","1591186","5919897","4102315","255911892"
"Kategorie | Zpravodajství | drbna.cz","1561182","6797412","4758096","228963612"
"Kategorie | Zpravodajství | parlamentnilisty.cz","1415877","26609306","8169768","2672171846"
"Kategorie | Zpravodajství | forum24.cz","1366327","10251616","5337940","758810248"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1356757","20801188","7982733","1687895680"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","807060","2869325","2012082","171495247"
"Kategorie | Zpravodajství | nasregion.cz","554713","2338929","1063316","103439814"
"Kategorie | Zpravodajství | tydenikpolicie.cz","521960","1684088","1178958","58359524"
"Kategorie | Zpravodajství | hlidacipes.org","511027","1219811","918255","54223647"
"Kategorie | Zpravodajství | info.cz","508632","1520451","985838","70467272"
"Kategorie | Zpravodajství | respekt.cz","502142","1829429","1194283","90443879"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","472434","1747607","1169799","95926256"
"Kategorie | Zpravodajství | prazskypatriot.cz","393305","647017","532821","14571545"
"Kategorie | Zpravodajství | ekolist.cz","356360","757520","560472","31004195"
"Kategorie | Zpravodajství | tyden.cz | Tyden.cz | Tyden.cz - Zpravodajství","92544","269892","190842","13108907"
"Kategorie | Zpravodajství | blisty.cz","64542","577242","246052","45165362"
"Kategorie | Zpravodajství | 5plus2.cz","3768","18490","6750","779345"
"Kategorie | Zpravodajství | pravo.cz","27","32","27","491"
"Kategorie | Zpravodajství | a2larm.cz","2","2","1","-"